2021-12-31,France Says Iran's Space Launch 'Regrettable' Amid Nuclear Deal Talks,USNews.com,"Dec 31, 2021"
2021-12-31,Should Kids Be Vaccinated? Brazil Turns to Online Survey,USNews.com,"Dec 31, 2021"
2021-12-31,S.Africa President to Receive Report on Zuma Corruption Inquiry,USNews.com,"Dec 31, 2021"
2021-12-31,Morocco's Tough COVID Restrictions Hammer Tourism Sector,USNews.com,"Dec 31, 2021"
2021-12-31,"Philippines Limits Mobility, Business in Capital Area Over Omicron Threat",USNews.com,"Dec 31, 2021"
2021-12-31,Hong Kong Says Omicron Has Breached Its Strict COVID-19 Restrictions,USNews.com,"Dec 31, 2021"
2021-12-31,"Top 10 World News: Russia`s warning to US, update on Covid hospitalisation 
among kids in US and more",WION,"Dec 31, 2021"
2021-12-31,A New Year Promise from Morocco World News,Morocco World News,"Dec 31, 2021"
2021-12-31,Germany shuts down three of six nuclear power plants,UPI.com,"Dec 31, 2021"
2021-12-31,China's 'artificial sun' smashes 1000-second fusion world record,CGTN,"Dec 31, 2021"
2021-12-31,That’s a wrap: French plastic packaging ban for fruit and veg begins,The Guardian,"Dec 31, 2021"
2021-12-31,Chinese reliance on Middle East oil increases: Report,Hindustan Times,"Dec 31, 2021"
2021-12-31,"Ikea increases prices by 50%, citing rising supply chain cost",UPI.com,"Dec 31, 2021"
2021-12-31,"Australia’s Covid surge in four charts: NSW now has one of world’s highest 
infection rates",The Guardian,"Dec 31, 2021"
2021-12-31,Explained: The Ladakh bridge on the world’s highest road,The Indian Express,"Dec 31, 2021"
2021-12-31,"China harvests masses of data on Western targets, documents ...",The Washington Post,"Dec 31, 2021"
2021-12-31,Indian Market: Sensex down 537.22 pts,Indiablooms,29 mins ago
2021-12-31,Wave of canceled flights from omicron closes out 2021,AP News,"Dec 31, 2021"
2021-12-31,New year 2022 begins in many countries of the world amid the ...,People News Chronicle,"Dec 31, 2021"
2021-01-30,Anthropocene skills need to be at the centre of curricula,University World News,"Jan 30, 2021"
2021-01-30,The latest on the coronavirus pandemic and vaccines: Live updates,CNN,"Jan 30, 2021"
2021-01-30,G7 summit: World leaders should see the 'real St Ives',BBC,"Jan 30, 2021"
2021-01-30,The latest on the coronavirus pandemic and vaccines: Live updates,CNN International,"Jan 30, 2021"
2021-01-30,EU 'fiasco' on N Ireland heaps pressure on Commission,BBC,"Jan 30, 2021"
2021-01-30,Toilet brushes and blue pants: Unusual symbols of Russia's protests,WION,"Jan 31, 2021"
2021-01-30,Is Netflix's 'The Dig' a true story and was Edith Pretty a real person?,Republic World,"Jan 30, 2021"
2021-01-30,Ex-Dodger Scott Erickson charged in fatal crash,Los Angeles Times,"Jan 30, 2021"
2021-01-30,UK applies to join huge Pacific free trade area CPTPP,GOV.UK,"Jan 30, 2021"
2021-01-30,"Keeping Coretta Scott King’s legacy alive, 15 years later",Atlanta Journal-Constitution,"Jan 30, 2021"
2021-01-29,Treat communities as partners to improve social impact,University World News,"Jan 29, 2021"
2021-01-29,What is the role of universities in global upskilling?,University World News,"Jan 29, 2021"
2021-01-29,Iran plans centrifuge expansion : Regulation & Safety,World Nuclear News,"Jan 29, 2021"
2021-01-29,"‘News of the World,’ the acclaimed novel and now movie set in Texas, hits 
streaming",Dallas Morning News,"Jan 29, 2021"
2021-01-29,In whose hands is the Holocaust?,Haaretz,"Jan 29, 2021"
2021-01-29,China Escalates War Rhetoric Over Taiwan: Do Not Test Our Determination,USNews.com,"Jan 29, 2021"
2021-01-29,Biden nominee confirms opposition to Yucca Mountain ...,World Nuclear News,"Jan 29, 2021"
2021-01-29,Amazon Game Studios Struggles to Find a Hit,Bloomberg.com,"Jan 29, 2021"
2021-01-29,Kenyan acrobatic troupe trains for post-Covid shows – in ...,The Guardian,"Jan 29, 2021"
2021-01-29,China derecognizes British National Overseas passport,Hindustan Times,"Jan 29, 2021"
2021-01-29,Tech Tent: Iron Man’s climate change mission,BBC,"Jan 29, 2021"
2021-01-29,Canada and UK among countries with most vaccine doses ...,The Guardian,"Jan 29, 2021"
2021-01-29,Thomson Reuters Announces Closing of Sale of Refinitiv to ...,PR Newswire,"Jan 29, 2021"
2021-01-29,The Lukashenko regime’s persecution of Belarus journalists,The Indian Express,"Jan 29, 2021"
2021-01-29,First Lady Jill Biden: What’s next on her agenda?,The Indian Express,"Jan 29, 2021"
2021-01-29,Tributes to slave traders and colonialists removed across UK,The Guardian,"Jan 29, 2021"
2021-01-29,"Australia: Scientists embark on voyage to count krill population in 
Antarctic",Republic World,"Jan 29, 2021"
2021-01-29,"Tunisian President Kais Saied receives poison letter, top aide falls ill",Republic World,"Jan 29, 2021"
2021-01-29,How Fontaines D.C. Avoided The Sophomore Slump On 'A ...,NPR,"Jan 29, 2021"
2021-01-29,"Britain withdraws coronavirus public awareness ad criticised for '1950s 
sexism'",Hindustan Times,"Jan 29, 2021"
2021-01-29,Fate: The Winx Saga ending explained: Details about the ...,Republic World,"Jan 29, 2021"
2021-01-29,Female Genital Cutting Is on the Rise During COVID in Kenya,Pulitzer Center,"Jan 29, 2021"
2021-01-29,"Biden visits wounded soldiers at Walter Reed, where son died",The San Diego Union-Tribune,"Jan 29, 2021"
2021-01-28,"The BBC's Influence Is Rising Stateside, Revealing a Hunger ...",Foreign Policy,"Jan 28, 2021"
2021-01-28,"China toughens language, warns Taiwan that independence 'means war'",Hindustan Times,"Jan 28, 2021"
2021-01-28,Russia detains allies of jailed opposition leader Alexei Navalny,The Indian Express,"Jan 28, 2021"
2021-01-28,Biden rescinds abortion restrictions on US foreign aid,AP News,"Jan 28, 2021"
2021-01-28,Belgium to expel Turkish imam after `homophobic` posts,WION,"Jan 28, 2021"
2021-01-28,Joe Biden’s new CDC director takes over institution in crisis,Hindustan Times,"Jan 28, 2021"
2021-01-28,World Economic Forum launches Global artificial intelligence alliance,Hindustan Times,"Jan 28, 2021"
2021-01-28,"World's first 'flying taxi' and drone airport to open in Coventry later 
this year",Sky News,"Jan 28, 2021"
2021-01-28,One third of Africa will be vaccinated this year: WHO,Hindustan Times,"Jan 28, 2021"
2021-01-28,"COVID-19: Bats living in Cambodia in 2010 carried 'nearly identical' 
pathogen to COVID-19 virus, scientists discover",Sky News,"Jan 28, 2021"
2021-01-28,Maidenhead's Khalsa Aid nominated for Nobel Peace Prize,BBC,"Jan 28, 2021"
2021-01-28,"US slows arms sales to Saudi Arabia, UAE for review",Hindustan Times,"Jan 28, 2021"
2021-01-28,Somali women eye seats in government dominated by men,The Indian Express,"Jan 28, 2021"
2021-01-28,Toyota overtakes Volkswagen as top-selling global auto maker,The Economic Times,"Jan 28, 2021"
2021-01-28,More than half of world’s airline pilots no longer flying-survey,The Indian Express,"Jan 28, 2021"
2021-01-28,"Keppel enters into second framework deed with Borr Drilling to defer 
scheduled delivery of rigs",Hellenic Shipping News Worldwide,"Jan 28, 2021"
2021-01-28,Novavax publishes positive efficacy data for its COVID-19 ...,GOV.UK,"Jan 28, 2021"
2021-01-28,POLITICO Playbook: SCOOP: Inside the White House's new ...,Politico,"Jan 28, 2021"
2021-01-28,Popular US singer Halsey announces first pregnancy ...,Tuko,"Jan 28, 2021"
2021-01-27,Report: World News Tonight Weekend Anchor Tom Llamas ...,Adweek,"Jan 27, 2021"
2021-01-27,Most popular news websites: Top 50 biggest websites in the ...,Press Gazette,"Jan 27, 2021"
2021-01-27,World's largest survey of public opinion on climate change: a ...,United Nations Development Programme,"Jan 27, 2021"
2021-01-27,Coronavirus: EU demands UK-made AstraZeneca vaccine doses,BBC,"Jan 27, 2021"
2021-01-27,Extinction: 'Time is running out' to save sharks and rays,BBC,"Jan 27, 2021"
2021-01-27,Tickle College of Engineering Rises in U.S. News and World ...,News,"Jan 27, 2021"
2021-01-27,"Freddy, the world's tallest dog, dies aged 8",Guinness World Records,"Jan 27, 2021"
2021-01-27,"Climate crisis: world is at its hottest for at least 12,000 years – study",The Guardian,"Jan 27, 2021"
2021-01-27,Netanyahu to Davos: Israel is 'world's laboratory for immunity',The Jerusalem Post,"Jan 27, 2021"
2021-01-27,"How to become President in BitLife: A detailed guide on running for 
President",Republic World,"Jan 27, 2021"
2021-01-27,FORM Smart Swim Goggles Now Connect to Leading Swim ...,Swimming World,"Jan 27, 2021"
2021-01-27,"Kobe Bryant death anniversary: NBA community fondly remembers legend 1 year 
after tragedy",Republic World,"Jan 27, 2021"
2021-01-27,Hashtagging the Holocaust: How COVID gave death camps new life online,Haaretz,"Jan 27, 2021"
2021-01-27,2021's 'Doomsday Clock' stuck at 100 seconds until the end of ...,EURACTIV.com,"Jan 27, 2021"
2021-01-27,Indonesia's Mount Merapi volcano erupts – in pictures | World ...,The Guardian,"Jan 27, 2021"
2021-01-27,Pakistan unveils plan to administer Covid-19 vaccine across country,Hindustan Times,"Jan 27, 2021"
2021-01-27,Israeli army chief slams Iran Nuclear Deal as strategically unacceptable,Hindustan Times,"Jan 27, 2021"
2021-01-27,'Crazy and evil': Bill Gates surprised by pandemic conspiracies about him,Hindustan Times,"Jan 27, 2021"
2021-01-27,How to join the mafia in BitLife? List of all mob families you can join,Republic World,"Jan 27, 2021"
2021-01-27,Indonesia volcano eruption: Merapi ejects new ash cloud,The Indian Express,"Jan 27, 2021"
2021-01-27,French Holocaust memorial vandalized on remembrance day,Hindustan Times,"Jan 27, 2021"
2021-01-27,"Iran, Taliban officials say US pushing war in Afghanistan",The Indian Express,"Jan 27, 2021"
2021-01-27,New supercomputer in Wyoming to rank among world's fastest,AP News,"Jan 27, 2021"
2021-01-27,China’s Zero-Tolerance Covid Approach Now Includes Anal Swabs,Hindustan Times,"Jan 27, 2021"
2021-01-27,US says Eritrean forces should leave Tigray immediately,The Indian Express,"Jan 27, 2021"
2021-01-27,"Deforestation soars in Amazon forest in 2020, analysis finds",Hindustan Times,"Jan 27, 2021"
2021-01-27,COVID-19: WHO races to develop vaccination card,The Indian Express,"Jan 27, 2021"
2021-01-27,South Africa cracks down on Bitcoin after alleged ponzi scheme,Hindustan Times,"Jan 27, 2021"
2021-01-27,Allentown School District expands STEM partnership | Lehigh ...,WFMZ,"Jan 27, 2021"
2021-01-27,"Despite 2020 hit, tourism readies | Covid19",news-herald.net,"Jan 27, 2021"
2021-01-27,Oklahoma seeking to return $2M worth of hydroxychloroquine,AP News,"Jan 27, 2021"
2021-01-27,An Oral History of Disney's 'The Emperor's New Groove',Vulture,"Jan 27, 2021"
2021-01-27,Insights from the Toltec Prophecies: 2021-2026 | Tom Rapsas,Patheos,"Jan 27, 2021"
2021-01-27,Budget 2021: Government to take another shot at privatisation,Moneycontrol,"Jan 27, 2021"
2021-01-26,U.S. News & World Report Ranks Embry-Riddle No. 1 for ...,ERAU News,"Jan 26, 2021"
2021-01-26,FAU | FAU Online Programs Rise in 'US News & World Report ...,Florida Atlantic University,"Jan 26, 2021"
2021-01-26,US News & World Report ranks FHSU Online among the best ...,Fort Hays State University,"Jan 26, 2021"
2021-01-26,Blackrock chief: ‘How Covid could help save the planet’,BBC,"Jan 26, 2021"
